id,name,category,description,price,age_min,age_max,stock
lego_castle_001,Lego Castle,Construction,Build a medieval castle with knights towers and drawbridges. Creative construction play set with 500 pieces for building imaginative structures.,29.99,6,12,45
lego_city_002,Lego City Police Station,Construction,Build and play with a city police station featuring cars garage and mini figures. Great construction toy for creative builders.,39.99,6,14,30
wooden_blocks_003,Wooden Building Blocks,Construction,Classic wooden blocks set for stacking building and creative construction. Natural wood safe for toddlers and young children.,19.99,1,5,80
soft_blocks_004,Soft Foam Blocks,Infant,Extra-large soft foam blocks perfect for babies and toddlers. Safe squishy and colorful for early building and stacking play.,14.99,0,3,60
plush_toy_005,Stuffed Teddy Bear,Plush,Super soft and cuddly teddy bear with embroidered eyes. Perfect first stuffed animal for infants and toddlers.,12.99,0,5,100
baby_rattle_006,Musical Baby Rattle,Infant,Colorful rattle with gentle music and lights. Stimulates baby senses and supports early development for newborns and infants.,8.99,0,1,75
puzzle_500pc_007,500 Piece Nature Puzzle,Puzzle,Challenging 500-piece jigsaw puzzle featuring beautiful nature landscapes. Great family activity for older children and adults.,18.99,8,99,40
puzzle_100pc_008,100 Piece Animal Puzzle,Puzzle,Fun 100-piece jigsaw puzzle with colorful animal illustrations. Perfect difficulty level for early puzzlers and young children.,9.99,5,10,55
science_kit_009,Junior Science Lab Kit,Science,Complete science experiment kit with 30 experiments. Teaches chemistry biology and physics concepts through hands-on learning for kids.,34.99,8,14,25
teddy_bear_010,Giant Plush Panda,Plush,Extra-large stuffed panda bear with realistic markings. Wonderful companion toy for children who love cuddly animals and plush toys.,24.99,3,99,35
art_set_011,Deluxe Art Supply Set,Creative,Complete art kit with watercolors colored pencils markers and sketchbooks. Perfect for young artists to explore painting and drawing.,22.99,6,14,50
remote_car_012,Remote Control Race Car,Electronic,High-speed remote control car with turbo boost and 2.4GHz control. Exciting electronic toy for racing enthusiasts and older kids.,44.99,8,14,20
doll_house_013,Wooden Dollhouse,Pretend Play,Beautiful three-story wooden dollhouse with furniture and accessories. Classic pretend play toy for imaginative role playing.,59.99,3,10,15
board_game_014,Family Strategy Board Game,Games,Engaging strategy board game for 2-6 players. Encourages critical thinking and friendly competition for family game nights.,27.99,8,99,45
action_figure_015,Superhero Action Figure,Action,Detailed superhero action figure with articulated joints and accessories. Popular character toy for adventure play and collecting.,14.99,4,12,65
baby_gym_016,Infant Activity Gym,Infant,Soft activity play gym with hanging toys music and lights. Supports tummy time and motor development for babies from birth.,39.99,0,1,30
outdoor_sprinkler_017,Garden Sprinkler Toy,Outdoor,Fun outdoor water sprinkler toy for hot summer days. Connects to garden hose for active outdoor water play for toddlers.,16.99,2,8,40
balance_bike_018,Kids Balance Bike,Outdoor,Lightweight wooden balance bike to help toddlers learn coordination before pedaling. Perfect outdoor toy for active young children.,49.99,2,5,22
magnetic_tiles_019,Magnetic Building Tiles,Construction,Colorful magnetic tiles for open-ended 3D construction and building. Develops spatial reasoning and creativity in children.,34.99,3,10,38
teen_board_game_025,Complex Strategy Game,Games,Advanced strategy board game with deep mechanics for teenage and adult players. Multiple factions and long gameplay sessions.,44.99,14,99,18
puzzle_1000pc_020,1000 Piece City Skyline Puzzle,Puzzle,Challenging 1000-piece jigsaw puzzle featuring a detailed city skyline. A rewarding challenge for experienced puzzle enthusiasts.,24.99,12,99,28
stuffed_dragon_021,Plush Dragon Toy,Plush,Soft and friendly plush dragon with colorful scales and wings. Wonderful cuddly companion for children who love fantasy creatures.,17.99,2,10,42
water_gun_022,Super Soaker Water Blaster,Outdoor,High-capacity water blaster for epic outdoor water battles. Great summer outdoor toy for active kids and groups.,21.99,6,14,33
clay_set_023,Modeling Clay Set,Creative,Non-toxic modeling clay in 20 colors with sculpting tools and molds. Creative sensory play for young artists and crafters.,11.99,3,10,67
train_set_024,Wooden Train Set,Construction,Classic wooden train set with tracks bridges and stations. Imaginative construction and pretend play for young children.,44.99,2,7,29
